Date,Open,High,Low,Close,Adj Close,Volume
2000-08-09,2.860000,2.860000,2.860000,2.860000,1.099056,0
2000-08-10,2.820000,3.120000,2.820000,2.960000,1.137485,4145000
2000-08-11,2.960000,3.200000,2.880000,3.080000,1.183599,1603500
2000-08-14,3.120000,3.260000,3.120000,3.180000,1.222028,1352500
2000-08-15,3.280000,3.360000,3.180000,3.260000,1.252771,2797500
2000-08-16,3.260000,3.280000,3.060000,3.100000,1.191285,1231500
2000-08-17,3.080000,3.080000,2.820000,2.860000,1.099056,2164250
2000-08-18,2.880000,2.900000,2.560000,2.580000,0.991457,1970500
2000-08-21,2.560000,2.720000,2.480000,2.600000,0.999142,1339750
2000-08-22,2.600000,2.760000,2.580000,2.740000,1.052942,1812750
2000-08-23,2.740000,2.760000,2.520000,2.520000,0.968400,979250
2000-08-24,2.560000,2.620000,2.480000,2.560000,0.983771,1086500
2000-08-25,2.560000,2.580000,2.480000,2.500000,0.960714,754250
2000-08-28,2.500000,2.500000,2.360000,2.500000,0.960714,1042250
2000-08-29,2.520000,2.580000,2.440000,2.520000,0.968400,1105750
2000-08-30,2.480000,2.500000,2.340000,2.360000,0.906914,990250
2000-08-31,2.400000,2.440000,2.320000,2.340000,0.899228,663000
2000-09-01,2.380000,2.420000,2.320000,2.320000,0.891542,782500
2000-09-04,2.340000,2.340000,2.220000,2.320000,0.891542,571000
2000-09-05,2.280000,2.380000,2.280000,2.320000,0.891542,1002750
2000-09-06,2.320000,2.320000,2.240000,2.240000,0.860799,663000
2000-09-07,2.260000,2.260000,2.140000,2.160000,0.830057,567750
2000-09-08,2.180000,2.240000,2.160000,2.200000,0.845428,738250
2000-09-11,2.160000,2.160000,2.060000,2.060000,0.791628,324250
2000-09-12,2.080000,2.120000,1.960000,2.000000,0.768571,687250
2000-09-13,2.000000,2.040000,1.960000,2.000000,0.768571,530250
2000-09-14,2.000000,2.040000,1.960000,2.000000,0.768571,706250
2000-09-15,2.000000,2.220000,2.000000,2.180000,0.837742,1518250
2000-09-18,2.140000,2.160000,2.020000,2.040000,0.783943,525750
2000-09-19,2.000000,2.100000,1.980000,2.100000,0.807000,438750
2000-09-20,2.140000,2.140000,2.020000,2.040000,0.783943,292750
2000-09-21,2.040000,2.040000,1.960000,2.020000,0.776257,508000
2000-09-22,1.980000,2.020000,1.960000,1.980000,0.760885,600250
2000-09-25,2.020000,2.040000,1.980000,1.980000,0.760885,187500
2000-09-26,1.980000,2.020000,1.960000,1.980000,0.760885,153500
2000-09-27,1.960000,2.000000,1.940000,1.980000,0.760885,286250
2000-09-28,2.000000,2.060000,2.000000,2.020000,0.776257,767250
2000-09-29,2.040000,2.040000,1.960000,1.960000,0.753200,171500
2000-10-02,1.940000,1.960000,1.940000,1.940000,0.745514,91250
2000-10-03,1.920000,1.960000,1.880000,1.920000,0.737828,234750
2000-10-04,1.900000,1.920000,1.860000,1.880000,0.722457,272000
2000-10-05,1.900000,1.900000,1.840000,1.860000,0.714771,474500
2000-10-06,1.840000,1.840000,1.780000,1.800000,0.691714,155500
2000-10-09,1.760000,1.760000,1.640000,1.660000,0.637914,496750
2000-10-10,1.680000,1.700000,1.600000,1.680000,0.645600,392500
2000-10-11,1.600000,1.620000,1.600000,1.620000,0.622543,66500
2000-10-12,1.620000,1.700000,1.580000,1.700000,0.653285,396750
2000-10-13,1.560000,1.620000,1.560000,1.620000,0.622543,113750
2000-10-16,1.620000,1.620000,1.620000,1.620000,0.622543,0
2000-10-17,1.600000,1.600000,1.560000,1.600000,0.614857,59500
2000-10-18,1.560000,1.620000,1.560000,1.600000,0.614857,140500
2000-10-19,1.600000,1.720000,1.600000,1.680000,0.645600,90250
2000-10-20,1.760000,1.840000,1.720000,1.760000,0.676342,818500
2000-10-23,1.800000,1.840000,1.740000,1.800000,0.691714,113250
2000-10-24,1.740000,1.740000,1.720000,1.720000,0.660971,9750
2000-10-25,1.720000,1.720000,1.680000,1.680000,0.645600,48750
2000-10-26,1.680000,1.680000,1.680000,1.680000,0.645600,0
2000-10-27,1.680000,1.680000,1.680000,1.680000,0.645600,0
2000-10-30,1.700000,1.780000,1.620000,1.620000,0.622543,269000
2000-10-31,1.640000,1.880000,1.640000,1.880000,0.722457,296500
2000-11-01,1.980000,2.080000,1.880000,1.960000,0.753200,666750
2000-11-02,1.940000,1.940000,1.800000,1.860000,0.714771,98500
2000-11-03,1.960000,2.040000,1.920000,2.020000,0.776257,439250
2000-11-06,2.020000,2.160000,1.980000,2.120000,0.814685,666750
2000-11-07,2.160000,2.320000,2.160000,2.320000,0.891542,1998000
2000-11-08,2.340000,2.460000,2.340000,2.400000,0.922285,2903500
2000-11-09,2.360000,2.420000,2.220000,2.280000,0.876171,1178500
2000-11-10,2.260000,2.280000,2.140000,2.180000,0.837742,816250
2000-11-13,2.040000,2.100000,1.980000,2.000000,0.768571,450250
2000-11-14,2.040000,2.120000,2.020000,2.120000,0.814685,595750
2000-11-15,2.180000,2.260000,2.000000,2.020000,0.776257,1929500
2000-11-16,2.060000,2.100000,2.020000,2.020000,0.776257,506250
2000-11-17,1.980000,2.020000,1.960000,1.960000,0.753200,424750
2000-11-20,1.960000,1.980000,1.860000,1.880000,0.722457,312500
2000-11-21,1.800000,1.860000,1.720000,1.820000,0.699399,645750
2000-11-22,1.800000,1.860000,1.680000,1.700000,0.653285,543750
2000-11-23,1.760000,1.760000,1.660000,1.720000,0.660971,290750
2000-11-24,1.740000,1.780000,1.700000,1.760000,0.676342,338250
2000-11-27,1.780000,1.780000,1.720000,1.720000,0.660971,317250
2000-11-28,1.740000,1.760000,1.620000,1.620000,0.622543,329500
2000-11-29,1.600000,1.620000,1.600000,1.600000,0.614857,227250
2000-11-30,1.600000,1.620000,1.480000,1.480000,0.568743,318250
2000-12-01,1.500000,1.640000,1.500000,1.620000,0.622543,397750
2000-12-04,1.580000,1.580000,1.500000,1.500000,0.576428,146500
2000-12-05,1.560000,1.580000,1.520000,1.580000,0.607171,155000
2000-12-06,1.680000,1.680000,1.620000,1.620000,0.622543,487750
2000-12-07,1.580000,1.580000,1.560000,1.560000,0.599485,52750
2000-12-08,1.560000,1.640000,1.560000,1.620000,0.622543,54750
2000-12-11,1.620000,1.760000,1.600000,1.760000,0.676342,206250
2000-12-12,1.740000,1.840000,1.700000,1.700000,0.653285,636500
2000-12-13,1.720000,1.800000,1.700000,1.800000,0.691714,426500
2000-12-14,1.780000,1.800000,1.680000,1.680000,0.645600,212750
2000-12-15,1.680000,1.700000,1.640000,1.680000,0.645600,110750
2000-12-18,1.660000,1.680000,1.620000,1.680000,0.645600,164250
2000-12-19,1.660000,1.660000,1.580000,1.600000,0.614857,182000
2000-12-20,1.560000,1.620000,1.540000,1.580000,0.607171,177750
2000-12-21,1.520000,1.560000,1.520000,1.560000,0.599485,138500
2000-12-22,1.580000,1.580000,1.520000,1.560000,0.599485,124000
2000-12-25,1.560000,1.560000,1.560000,1.560000,0.599485,0
2000-12-26,1.560000,1.560000,1.480000,1.480000,0.568743,86750
2000-12-27,1.480000,1.480000,1.480000,1.480000,0.568743,0
2000-12-28,1.520000,1.520000,1.480000,1.480000,0.568743,134000
2000-12-29,1.500000,1.520000,1.480000,1.520000,0.584114,128500
2001-01-01,1.520000,1.520000,1.520000,1.520000,0.584114,0
2001-01-02,1.500000,1.500000,1.480000,1.480000,0.568743,49500
2001-01-03,1.480000,1.480000,1.400000,1.440000,0.553371,42500
2001-01-04,1.480000,1.580000,1.480000,1.540000,0.591800,158250
2001-01-05,1.540000,1.580000,1.540000,1.540000,0.591800,50250
2001-01-08,1.480000,1.500000,1.460000,1.500000,0.576428,22500
2001-01-09,1.460000,1.500000,1.460000,1.500000,0.576428,13750
2001-01-10,1.500000,1.560000,1.480000,1.500000,0.576428,101000
2001-01-11,1.500000,1.500000,1.460000,1.480000,0.568743,42750
2001-01-12,1.480000,1.480000,1.440000,1.460000,0.561057,24750
2001-01-15,1.440000,1.460000,1.440000,1.440000,0.553371,22750
2001-01-16,1.420000,1.420000,1.380000,1.380000,0.530314,29750
2001-01-17,1.400000,1.400000,1.280000,1.320000,0.507257,64250
2001-01-18,1.400000,1.400000,1.320000,1.360000,0.522628,32500
2001-01-19,1.400000,1.540000,1.400000,1.540000,0.591800,132500
2001-01-22,1.520000,1.520000,1.500000,1.500000,0.576428,34250
2001-01-23,1.500000,1.500000,1.500000,1.500000,0.576428,5250
2001-01-24,1.500000,1.500000,1.500000,1.500000,0.576428,0
2001-01-25,1.500000,1.500000,1.500000,1.500000,0.576428,0
2001-01-26,1.460000,1.460000,1.460000,1.460000,0.561057,7500
2001-01-29,1.460000,1.480000,1.460000,1.460000,0.561057,19000
2001-01-30,1.480000,1.480000,1.460000,1.460000,0.561057,18250
2001-01-31,1.500000,1.560000,1.500000,1.540000,0.591800,81500
2001-02-01,1.540000,1.700000,1.540000,1.660000,0.637914,395500
2001-02-02,1.680000,1.740000,1.660000,1.740000,0.668657,537000
2001-02-05,1.680000,1.860000,1.680000,1.800000,0.691714,1168000
2001-02-06,1.840000,1.960000,1.820000,1.840000,0.707085,1241750
2001-02-07,1.840000,1.860000,1.660000,1.660000,0.637914,365750
2001-02-08,1.640000,1.760000,1.640000,1.720000,0.660971,308000
2001-02-09,1.740000,1.740000,1.600000,1.600000,0.614857,116000
2001-02-12,1.600000,1.620000,1.560000,1.560000,0.599485,300750
2001-02-13,1.600000,1.620000,1.540000,1.540000,0.591800,217500
2001-02-14,1.520000,1.560000,1.500000,1.500000,0.576428,210250
2001-02-15,1.540000,1.560000,1.500000,1.500000,0.576428,135000
2001-02-16,1.540000,1.540000,1.500000,1.520000,0.584114,193750
2001-02-19,1.500000,1.520000,1.500000,1.500000,0.576428,140000
2001-02-20,1.520000,1.640000,1.520000,1.640000,0.630228,247000
2001-02-21,1.620000,1.620000,1.560000,1.560000,0.599485,217500
2001-02-22,1.560000,1.560000,1.540000,1.560000,0.599485,47750
2001-02-23,1.580000,1.580000,1.540000,1.560000,0.599485,81250
2001-02-26,1.540000,1.540000,1.520000,1.520000,0.584114,50000
2001-02-27,1.520000,1.520000,1.460000,1.500000,0.576428,163750
2001-02-28,1.500000,1.520000,1.460000,1.480000,0.568743,99250
2001-03-01,1.480000,1.480000,1.480000,1.480000,0.568743,44250
2001-03-02,1.480000,1.480000,1.460000,1.460000,0.568743,23000
2001-03-05,1.460000,1.480000,1.460000,1.480000,0.576534,240000
2001-03-06,1.480000,1.480000,1.480000,1.480000,0.576534,0
2001-03-07,1.500000,1.500000,1.460000,1.460000,0.568743,50000
2001-03-08,1.480000,1.480000,1.480000,1.480000,0.576534,43500
2001-03-09,1.460000,1.480000,1.460000,1.460000,0.568743,25750
2001-03-12,1.460000,1.460000,1.440000,1.440000,0.560951,43750
2001-03-13,1.440000,1.520000,1.420000,1.520000,0.592116,56500
2001-03-14,1.520000,1.520000,1.520000,1.520000,0.592116,0
2001-03-15,1.400000,1.440000,1.400000,1.400000,0.545370,37500
2001-03-16,1.360000,1.420000,1.360000,1.420000,0.553160,23000
2001-03-19,1.340000,1.360000,1.320000,1.320000,0.514205,22250
2001-03-20,1.360000,1.360000,1.340000,1.340000,0.521996,7250
2001-03-21,1.320000,1.360000,1.320000,1.360000,0.529788,7500
2001-03-22,1.360000,1.360000,1.340000,1.340000,0.521996,6500
2001-03-23,1.360000,1.380000,1.360000,1.380000,0.537578,29250
2001-03-26,1.340000,1.360000,1.340000,1.360000,0.529788,18500
2001-03-27,1.360000,1.360000,1.340000,1.360000,0.529788,101250
2001-03-28,1.340000,1.340000,1.280000,1.280000,0.498624,14250
2001-03-29,1.260000,1.260000,1.140000,1.140000,0.444087,40250
2001-03-30,1.140000,1.320000,1.140000,1.320000,0.514205,23500
2001-04-02,1.160000,1.160000,1.160000,1.160000,0.451878,25250
2001-04-03,1.080000,1.160000,1.080000,1.140000,0.444087,19250
2001-04-04,1.040000,1.120000,1.040000,1.120000,0.436296,27000
2001-04-05,1.160000,1.220000,1.140000,1.220000,0.475251,47750
2001-04-06,1.140000,1.200000,1.140000,1.200000,0.467460,12000
2001-04-09,1.080000,1.080000,1.080000,1.080000,0.420714,24500
2001-04-10,1.080000,1.100000,1.080000,1.100000,0.428505,2250
2001-04-11,1.120000,1.120000,1.120000,1.120000,0.436296,7500
2001-04-12,1.100000,1.140000,1.100000,1.120000,0.436296,37250
2001-04-13,1.120000,1.120000,1.120000,1.120000,0.436296,0
2001-04-16,1.120000,1.120000,1.100000,1.100000,0.428505,33750
2001-04-17,1.040000,1.040000,1.040000,1.040000,0.405132,1000
2001-04-18,1.040000,1.100000,1.040000,1.100000,0.428505,38750
2001-04-19,1.120000,1.140000,1.120000,1.120000,0.436296,50000
2001-04-20,1.120000,1.160000,1.120000,1.160000,0.451878,20000
2001-04-23,1.160000,1.160000,1.160000,1.160000,0.451878,0
2001-04-24,1.200000,1.320000,1.200000,1.320000,0.514205,30750
2001-04-25,1.320000,1.320000,1.240000,1.240000,0.483042,22750
2001-04-26,1.320000,1.320000,1.240000,1.240000,0.483042,22750
2001-04-27,1.180000,1.200000,1.180000,1.200000,0.467460,10000
2001-04-30,1.180000,1.280000,1.180000,1.260000,0.490833,18000
2001-05-01,1.260000,1.260000,1.260000,1.260000,0.490833,0
2001-05-02,1.280000,1.480000,1.280000,1.400000,0.545370,101000
2001-05-03,1.440000,1.440000,1.300000,1.320000,0.514205,56500
2001-05-04,1.320000,1.420000,1.280000,1.420000,0.553160,14250
2001-05-07,1.420000,1.420000,1.420000,1.420000,0.553160,0
2001-05-08,1.420000,1.420000,1.420000,1.420000,0.553160,0
2001-05-09,1.280000,1.280000,1.280000,1.280000,0.498624,2500
2001-05-10,1.300000,1.360000,1.300000,1.360000,0.529788,19000
2001-05-11,1.360000,1.360000,1.300000,1.300000,0.506415,5000
2001-05-14,1.300000,1.300000,1.300000,1.300000,0.506415,0
2001-05-15,1.300000,1.300000,1.300000,1.300000,0.506415,0
2001-05-16,1.220000,1.240000,1.220000,1.240000,0.483042,5000
2001-05-17,1.240000,1.340000,1.240000,1.340000,0.521996,18000
2001-05-18,1.340000,1.340000,1.340000,1.340000,0.521996,0
2001-05-21,1.320000,1.320000,1.300000,1.300000,0.506415,5250
2001-05-22,1.320000,1.380000,1.320000,1.380000,0.537578,40000
2001-05-23,1.360000,1.380000,1.340000,1.340000,0.521996,46250
2001-05-24,1.320000,1.480000,1.320000,1.440000,0.560951,276250
2001-05-25,1.420000,1.480000,1.420000,1.460000,0.568743,292000
2001-05-28,1.440000,1.460000,1.400000,1.420000,0.553160,68500
2001-05-29,1.400000,1.420000,1.380000,1.380000,0.537578,32500
2001-05-30,1.360000,1.380000,1.320000,1.340000,0.521996,158750
2001-05-31,1.300000,1.360000,1.300000,1.360000,0.529788,91500
2001-06-01,1.360000,1.360000,1.320000,1.320000,0.514205,33250
2001-06-04,1.340000,1.360000,1.340000,1.360000,0.529788,27750
2001-06-05,1.380000,1.380000,1.300000,1.300000,0.506415,27500
2001-06-06,1.300000,1.360000,1.300000,1.320000,0.514205,77000
2001-06-07,1.300000,1.300000,1.280000,1.280000,0.498624,25000
2001-06-08,1.300000,1.320000,1.300000,1.320000,0.514205,15000
2001-06-11,1.280000,1.280000,1.240000,1.280000,0.498624,28750
2001-06-12,1.260000,1.280000,1.260000,1.280000,0.498624,23500
2001-06-13,1.300000,1.320000,1.300000,1.320000,0.514205,32750
2001-06-14,1.340000,1.340000,1.320000,1.320000,0.514205,53750
2001-06-15,1.280000,1.340000,1.280000,1.340000,0.521996,17500
2001-06-18,1.360000,1.520000,1.360000,1.480000,0.576534,421250
2001-06-19,1.460000,1.460000,1.440000,1.460000,0.568743,160000
2001-06-20,1.440000,1.440000,1.420000,1.440000,0.560951,68500
2001-06-21,1.440000,1.560000,1.440000,1.540000,0.599907,429750
2001-06-22,1.580000,1.760000,1.580000,1.640000,0.638862,1314000
2001-06-25,1.680000,1.740000,1.660000,1.720000,0.670025,561000
2001-06-26,1.720000,1.740000,1.700000,1.700000,0.662235,256250
2001-06-27,1.700000,1.820000,1.700000,1.800000,0.701189,1269750
2001-06-28,1.820000,1.880000,1.780000,1.840000,0.716771,777000
2001-06-29,1.880000,2.180000,1.860000,2.120000,0.825845,3373250
2001-07-02,2.120000,2.200000,2.040000,2.140000,0.833636,4368000
2001-07-03,2.160000,2.220000,2.120000,2.200000,0.857009,3520250
2001-07-04,2.200000,2.320000,2.160000,2.200000,0.857009,3807750
2001-07-05,2.220000,2.260000,2.160000,2.220000,0.864800,3025750
2001-07-06,2.200000,2.220000,2.060000,2.140000,0.833636,1777000
2001-07-09,2.100000,2.220000,2.040000,2.200000,0.857009,2263500
2001-07-10,2.220000,2.300000,2.220000,2.260000,0.880382,2380000
2001-07-11,2.200000,2.300000,2.100000,2.120000,0.825845,2651500
2001-07-12,2.160000,2.260000,2.140000,2.260000,0.880382,1906500
2001-07-13,2.280000,2.360000,2.240000,2.240000,0.872591,1659250
2001-07-16,2.300000,2.440000,2.260000,2.440000,0.950501,3364000
2001-07-17,2.400000,2.500000,2.400000,2.440000,0.950501,1339750
2001-07-18,2.480000,2.540000,2.140000,2.160000,0.841427,3714000
2001-07-19,2.180000,2.320000,2.160000,2.320000,0.903755,1785000
2001-07-20,2.320000,2.340000,2.240000,2.280000,0.888173,715500
2001-07-23,2.280000,2.300000,2.220000,2.280000,0.888173,2081500
2001-07-24,2.260000,2.320000,2.240000,2.240000,0.872591,897000
2001-07-25,2.260000,2.280000,2.240000,2.280000,0.888173,1077500
2001-07-26,2.280000,2.340000,2.240000,2.280000,0.888173,2108000
2001-07-27,2.300000,2.360000,2.300000,2.360000,0.919337,1561750
2001-07-30,2.380000,2.420000,2.300000,2.300000,0.895964,621750
2001-07-31,2.320000,2.360000,2.300000,2.340000,0.911546,1369500
2001-08-01,2.340000,2.380000,2.320000,2.380000,0.927128,1235000
2001-08-02,2.400000,2.480000,2.400000,2.460000,0.958292,2582000
2001-08-03,2.460000,2.480000,2.400000,2.440000,0.950501,970250
2001-08-06,2.440000,2.480000,2.400000,2.440000,0.950501,757250
2001-08-07,2.420000,2.440000,2.240000,2.260000,0.880382,1299000
2001-08-08,2.280000,2.280000,2.180000,2.180000,0.849218,949000
2001-08-09,2.180000,2.180000,2.180000,2.180000,0.849218,0
2001-08-10,2.160000,2.180000,2.080000,2.120000,0.825845,1450750
2001-08-13,2.120000,2.120000,2.020000,2.040000,0.794682,668750
2001-08-14,2.060000,2.120000,2.060000,2.100000,0.818054,1322500
2001-08-15,2.080000,2.080000,1.720000,1.740000,0.677816,2332000
2001-08-16,1.680000,1.720000,1.400000,1.440000,0.560951,4817750
2001-08-17,1.460000,1.560000,1.460000,1.500000,0.584325,2172750
2001-08-20,1.480000,1.520000,1.460000,1.480000,0.576534,1138750
2001-08-21,1.500000,1.500000,1.440000,1.440000,0.560951,653250
2001-08-22,1.420000,1.460000,1.420000,1.460000,0.568743,1040000
2001-08-23,1.440000,1.460000,1.420000,1.420000,0.553160,1159000
2001-08-24,1.420000,1.440000,1.320000,1.380000,0.537578,1386250
2001-08-27,1.400000,1.400000,1.320000,1.320000,0.514205,756000
2001-08-28,1.320000,1.320000,1.100000,1.120000,0.436296,6422750
2001-08-29,1.080000,1.120000,1.040000,1.100000,0.428505,1695750
2001-08-30,1.080000,1.120000,1.020000,1.020000,0.397341,1499750
2001-08-31,1.000000,1.040000,0.980000,1.000000,0.389550,1777750
2001-09-03,0.980000,1.000000,0.860000,0.860000,0.335013,2381000
2001-09-04,0.840000,0.980000,0.840000,0.980000,0.381759,3763250
2001-09-05,0.960000,0.960000,0.920000,0.940000,0.366177,959000
2001-09-06,0.940000,0.940000,0.880000,0.880000,0.342804,696000
2001-09-07,0.860000,0.900000,0.860000,0.860000,0.335013,816000
2001-09-10,0.840000,0.860000,0.820000,0.840000,0.327222,1063750
2001-09-11,0.860000,0.920000,0.840000,0.900000,0.350595,1789000
2001-09-12,0.780000,0.840000,0.740000,0.800000,0.311640,1357750
2001-09-13,0.820000,0.820000,0.780000,0.780000,0.303849,575500
